ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
135;2;0;396050.499;5092235.964;4109.68;122.609;65.133;-0.539;-0.006;-1.295;-2.759;1.113;276.389;112.389;72.444;15.556
136;1;0;396154.493;5070392.153;1688.32;191.765;46.349;-0.979;-0.912;2.07;0.626;0.682;168.056;77.222;46.056;15.389
137;1;0;392369.165;5065562.649;989.352;345.716;43.924;0.969;0.537;1.702;-0.399;2.015;135.111;61.944;30.111;13.389
138;2;0;375177.946;5071530.566;1882.21;105.141;40.603;-0.261;-0.214;-0.894;1.203;2.04;219.278;67.056;52.444;15.444
139;4;0;373940.511;5061138.483;2385.51;5.047;59.358;0.996;0.303;2.779;-2.97;0.516;158.556;78.333;48.722;14.778
140;1;0;385883.539;5074083.467;1953.12;282.705;47.884;0.220;0.396;-1.624;11.06;0.813;201.167;83.667;46.611;14.444
141;3;0;393877.447;5070894.782;1969.37;168.769;35.07;-0.981;0.435;0.206;0.387;2.419;182.056;72.778;51.111;14.889
142;1;0;389952.141;5079081.121;2345.08;94.077;54.392;-0.071;0.706;6.835;-3.954;-0.041;227.167;101.056;53.111;16.111
143;1;0;394092.691;5083360.783;1962.73;154.68;54.43;-0.904;-0.829;0.875;1.319;1.599;229.111;104.722;53.889;15.611
144;4;0;375530.866;5061834.494;2318.55;120.494;47.534;-0.507;0.645;-0.564;1.289;0.709;187.389;77.444;49.5;14.722
145;5;0;390687.066;5085916.897;3012.34;146.04;74.842;-0.829;-0.119;-0.49;8.389;-0.603;243.778;115.944;75.944;15.389
146;1;0;395579.733;5086722.357;2478.63;52.638;21.241;0.607;-0.246;-0.121;1.278;2.595;262.556;102.278;62.611;16.444
147;2;0;382247.962;5078152.718;2722.44;188.634;29.398;-0.989;0.905;-0.959;0.65;2.704;237.944;91.333;49;14.722
148;2;0;387303.161;5079166.003;2498.43;105.715;9.512;-0.271;-0.135;-2.219;0.326;6.232;258.333;104.167;57.111;14.889
149;4;0;377539.925;5060632.335;2774.62;20.214;22.7;0.938;0.305;-0.339;-0.253;6.283;196.944;85;54;14.556
150;4;0;384908.021;5055319.109;2626.69;63.485;17.91;0.446;0.622;1.629;-0.159;1.422;197.333;103.056;53.389;15.556
151;1;0;374989.992;5062870.848;2154.55;48.238;54.328;0.666;-0.358;-0.368;1.619;0.52;187.389;77.444;48.778;14.722
152;4;0;383457.816;5056910.666;2524.39;295.159;48.97;0.425;0.447;-0.165;0.549;3.053;183.056;98.889;54.111;15.5
153;5;0;390703.488;5085362.685;2913.29;352.77;36.93;0.992;0.735;0.199;-0.336;2.86;243.833;116.167;70.833;15.944
154;1;0;372071.965;5061285.885;2283.8;354.702;37.659;0.996;-0.854;-1.232;1.002;2.949;141.667;75.5;48.278;14.167
155;4;0;383576.281;5056970.803;2581.51;327.89;40.454;0.847;0.326;-0.424;0.558;4.497;171.278;96;54.222;15.889
156;3;0;391213.693;5083627.333;2564.69;253.224;34.538;-0.289;-0.52;1.536;0.241;1.923;246.444;108.944;54.222;16.222
157;3;0;369585.711;5060389.4;2090.7;270.094;12.183;0.002;0.617;-0.084;-0.557;4.341;149.611;73.944;46.389;14.944
158;4;0;375813.195;5059463.518;2771.25;177.676;37.175;-0.999;-0.129;1.69;-3.187;2.331;170.944;84.333;55.944;14
159;2;0;381895.325;5077730.144;2754.61;29.597;27.282;0.870;-0.304;-0.402;0.068;1.706;250.778;91.056;51.611;15.111
160;4;0;373114.583;5060455.987;2877.65;285.323;14.58;0.264;-0.159;-0.982;2.049;3.07;154.278;75.722;57.889;14.389
161;2;0;380705.979;5076534.115;2692.5;168.554;35.477;-0.980;0.33;-2.501;-0.955;2.621;257.833;88.444;48.667;15.5
162;1;0;394736.682;5085195.839;2506.82;278.329;15.879;0.145;-0.199;-1.082;0.306;3.247;248.722;109.167;53.556;15.778
163;3;0;394464.031;5071182.629;2207.94;186.821;33.035;-0.993;0.166;0.348;-1.346;2.18;182.056;72.778;47.833;14.889
164;2;0;389131.052;5080907.1;2529.61;203.782;19.954;-0.915;-0.566;-0.368;-0.169;4.381;235.889;105.778;52.389;16
165;3;0;397125.579;5084850.338;2803.96;259.129;18.675;-0.189;0.23;-0.045;-0.504;1.866;232.722;103.056;54.5;16.5
166;1;0;384813.954;5061080.253;2189.62;210.816;32.725;-0.859;-0.388;0.489;0.061;3.164;184.444;92.389;52.056;15.889
167;1;0;381522.885;5058622.995;2391.09;91.989;48.541;-0.035;-0.471;2.145;-0.517;1.596;177.444;89.333;49.444;14.611
168;3;0;396930.802;5080687.508;2615.38;259.236;19.959;-0.187;0.178;-0.796;0.615;4.805;209.833;100.278;49.389;16.389
169;2;0;389972.382;5085659.601;3298.31;214.384;45.464;-0.825;0.831;-2.241;1.462;2.22;250.5;116.722;82.167;16
170;4;0;371583.258;5059198.383;2332.6;274.847;31.946;0.084;-0.342;-0.722;0.916;3.666;149.556;78.444;57.667;14
171;4;0;375426.582;5060854.232;2733.74;166.947;40.69;-0.974;-0.858;-0.594;0.853;2.079;170.722;80.889;53.889;14.611
172;1;0;381274.056;5057673.723;2652.88;138.183;49.05;-0.745;0.553;0.85;-3.131;0.998;169.722;93.5;58.833;14.944
173;3;0;397361.133;5079613.545;2770.84;338.797;21.666;0.932;0.135;-0.448;-1.199;5.769;225;95.556;51.056;15.611
174;1;0;379643.234;5062568.879;1631.81;282.668;28.636;0.219;0.626;-2.125;0.811;5.173;206.056;83.722;48.222;14.5
175;2;0;397118.355;5077410.201;2729.59;346.416;23.46;0.972;0.334;-1.087;-0.044;3.596;202;89.722;54.278;15.278
176;2;0;381896.05;5076800.943;2867.01;76.391;13.432;0.235;0.194;-1.705;0.018;3.251;248.167;87.5;56.167;15.5
177;3;0;385794.423;5069171.864;1056.87;146.869;29.278;-0.837;-0.485;0.008;0.901;2.651;154.389;70.389;34.389;14.944
178;1;0;385237.568;5061394.57;2491.3;204.242;35.475;-0.912;-0.551;-1.951;0.922;5.088;176.056;83.667;53.889;15.278
179;1;0;388645.801;5062435.241;2402.23;3.923;40.194;0.998;-0.516;3.235;-0.602;1.33;169.278;80.167;49.556;15.056
180;3;0;396282.782;5090729.66;2845.88;173.911;32.119;-0.994;0.038;-2.165;-0.607;2.474;278.889;105.444;67.222;16.222
